day,cell_type,cells/g,Condition,id,Experiment
1,NK,79592.51489,TST,6,Hosoi_2014_Fig1
1,HostCD8,1486208.101,Untreated,1,Hosoi_2014_Fig1
1,HostCD8,196349.2884,Untreated,2,Hosoi_2014_Fig1
1,HostCD8,104993.468,Untreated,3,Hosoi_2014_Fig1
1,HostCD8,153254.3033,TST,4,Hosoi_2014_Fig1
1,HostCD8,43133.96575,TST,5,Hosoi_2014_Fig1
1,HostCD8,33284.14259,TST,6,Hosoi_2014_Fig1
1,CD4,287250.3053,Untreated,1,Hosoi_2014_Fig1
1,CD4,307644.0463,Untreated,2,Hosoi_2014_Fig1
1,CD4,122719.6379,Untreated,3,Hosoi_2014_Fig1
1,CD4,109467.3595,TST,4,Hosoi_2014_Fig1
1,CD4,137389.6687,TST,5,Hosoi_2014_Fig1
1,CD4,82693.52197,TST,6,Hosoi_2014_Fig1
1,CD11bGr1,3609362.531,Untreated,1,Hosoi_2014_Fig1
1,CD11bGr1,2936190.972,Untreated,2,Hosoi_2014_Fig1
1,CD11bGr1,1846248.775,Untreated,3,Hosoi_2014_Fig1
1,CD11bGr1,2831052.4,TST,4,Hosoi_2014_Fig1
