day,cell_type,cells/g,Condition,id,Experiment
1,CD45,6244571.853,Untreated,1,Hosoi_2014_Fig1
1,CD45,4524177.152,Untreated,2,Hosoi_2014_Fig1
1,CD45,2727103.065,Untreated,3,Hosoi_2014_Fig1
1,CD45,3774736.534,TST,4,Hosoi_2014_Fig1
1,CD45,3195108.574,TST,5,Hosoi_2014_Fig1
1,CD45,3445563.415,TST,6,Hosoi_2014_Fig1
1,CTL,0,Untreated,1,Hosoi_2014_Fig1
1,CTL,0,Untreated,2,Hosoi_2014_Fig1
1,CTL,0,Untreated,3,Hosoi_2014_Fig1
1,CTL,26083.42945,TST,4,Hosoi_2014_Fig1
1,CTL,13387.50492,TST,5,Hosoi_2014_Fig1
1,CTL,20432.19105,TST,6,Hosoi_2014_Fig1
1,NK,235420.3589,Untreated,1,Hosoi_2014_Fig1
1,NK,95460.13791,Untreated,2,Hosoi_2014_Fig1
1,NK,262892.7355,Untreated,3,Hosoi_2014_Fig1
1,NK,199306.089,TST,4,Hosoi_2014_Fig1
1,NK,84350.86635,TST,5,Hosoi_2014_Fig1
